content,score,at,platform_type,token,lemmatized,clean,period,topic_no,cluster
bank kece parah saya pengguna baru mudah banget buat registrasi enak buat transaksi kemana pun benar tidak ada biaya admin fitur lengkap banget lagi cocok buat saya yang suka belanja pakai otomatis pengajuan deh lengkap banget deh mau apa bisa di bank,5,2024-09-04 2:04:55,banking,"['bank', 'kece', 'parah', 'pengguna', 'mudah', 'banget', 'registrasi', 'enak', 'transaksi', 'kemana', 'biaya', 'admin', 'fitur', 'lengkap', 'banget', 'cocok', 'suka', 'belanja', 'pakai', 'otomatis', 'pengajuan', 'deh', 'lengkap', 'banget', 'deh', 'bank']",kece parah guna mudah  registrasi enak transaksi mana biaya admin fitur lengkap  cocok suka belanja pakai otomatis aju deh lengkap  deh,bank kece parah pengguna mudah banget registrasi enak transaksi kemana biaya admin fitur lengkap banget cocok suka belanja pakai otomatis pengajuan deh lengkap banget deh bank,2024-09-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
bank sangat memuaskan bagi saya yng sangat mudah dan simpel untuk di gunakan transaksi kemanapun dan tidak ada biaya adiminya dan bank memiliki fitur yang lengkap jadii cocok buat saya yang biasanya belanja dengan jadi lebih mudah,5,2024-09-16 1:45:26,banking,"['bank', 'memuaskan', 'yng', 'mudah', 'simpel', 'transaksi', 'kemanapun', 'biaya', 'adiminya', 'bank', 'memiliki', 'fitur', 'lengkap', 'jadii', 'cocok', 'belanja', 'mudah']",puas yng mudah simpel transaksi mana biaya adiminya  milik fitur lengkap jadi cocok belanja mudah,bank memuaskan yng mudah simpel transaksi kemanapun biaya adiminya bank memiliki fitur lengkap jadii cocok belanja mudah,2024-09-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
simulasi pinjaman 5 3 dengan tenor 6 bulan 99 bulan kena by layanan 319 mati belanda yang dicairkan menjadi 5 bunga ditambah by layanan menjadi 1 6 1 per bulan too expensive bung rate saya harusnya 75rb 85 ribu untuk bunga dan by layanan di ulasan lagi bungs,1,2025-01-04 6:23:34,banking,"['simulasi', 'pinjaman', '5', '3', 'tenor', '6', '99', 'kena', 'by', 'layanan', '319', 'mati', 'belanda', 'dicairkan', '5', 'bunga', 'ditambah', 'by', 'layanan', '1', '6', '1', 'too', 'expensive', 'rate', '75rb', '85', 'ribu', 'bunga', 'by', 'layanan', 'ulasan', 'bungs']",simulasi pinjam 5 3 tenor 6 99 kena by layan 319 mati belanda cair 5 bunga tambah by layan 1 6 1 too expensive rate 75rb 85 ribu bunga by layan ulas bungs,simulasi pinjaman 5 3 tenor 6 99 kena by layanan 319 mati belanda dicairkan 5 bunga ditambah by layanan 1 6 1 too expensive rate 75rb 85 ribu bunga by layanan ulasan bungs,2025-01-01,6,6_bunga minimal_limit bunga_bunga rendah_bunga mahal
bank kece parah saya pengguna baru mudah banget bua registrasi enak buat transaksi kemana pun benar tidak ada biaya admin fitur lengkap banget lagi cocok buat saya yang suka belanja pakai otomatis pengajuan deh lengkap banget deh mau apa bisa di bank,5,2024-10-11 12:12:35,banking,"['bank', 'kece', 'parah', 'pengguna', 'mudah', 'banget', 'bua', 'registrasi', 'enak', 'transaksi', 'kemana', 'biaya', 'admin', 'fitur', 'lengkap', 'banget', 'cocok', 'suka', 'belanja', 'pakai', 'otomatis', 'pengajuan', 'deh', 'lengkap', 'banget', 'deh', 'bank']",kece parah guna mudah  bua registrasi enak transaksi mana biaya admin fitur lengkap  cocok suka belanja pakai otomatis aju deh lengkap  deh,bank kece parah pengguna mudah banget bua registrasi enak transaksi kemana biaya admin fitur lengkap banget cocok suka belanja pakai otomatis pengajuan deh lengkap banget deh bank,2024-10-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
mau bayar rumit banget pas di klik lunasi bahkan muncul iklan yang tidak hilang alhasil jadi terlambat bayar,1,2024-12-11 12:49:25,banking,"['bayar', 'rumit', 'banget', 'pas', 'klik', 'lunasi', 'muncul', 'iklan', 'hilang', 'alhasil', 'terlambat', 'bayar']",bayar rumit  pas klik lunas muncul iklan hilang alhasil lambat bayar,bayar rumit banget pas klik lunasi muncul iklan hilang alhasil terlambat bayar,2024-12-01,20,20_iklan bayar_bayar iklan_iklan limit_iklan hilang
assalamualaikum bank saya sudah mengaktifkan tapi kenapa tidak ada limit sama sekali mohon bantuannya,4,2024-12-10 4:35:31,banking,"['assalamualaikum', 'bank', 'mengaktifkan', 'limit', 'mohon', 'bantuannya']",assalamualaikum  aktif limit  bantu,assalamualaikum bank mengaktifkan limit mohon bantuannya,2024-12-01,18,18_bantu bantu_tuju bantu_bantu mitra_pinjam bantu
sering ditelpon pihak bank untuk mengajukan dengan iming sudah dalam tahap persetujuan tapi limitnya tetap tidak muncul sekarang sudah malas ngangkat telpon dari bank yang begitu saja,1,2024-11-10 16:32:42,banking,"['ditelpon', 'bank', 'mengajukan', 'iming', 'tahap', 'persetujuan', 'limitnya', 'muncul', 'malas', 'ngangkat', 'telpon', 'bank']",telpon  aju iming tahap tuju limit muncul malas ngangkat telpon,ditelpon bank mengajukan iming tahap persetujuan limitnya muncul malas ngangkat telpon bank,2024-11-01,3,3_akun tutup_email layan_spam sms_upgrade akun
halo bank barusan saya mendaftar tapi kenapa tidak berhasil padahal semua data lengkap saya sudah benar mohon bantuannya,5,2024-11-27 1:07:00,banking,"['halo', 'bank', 'barusan', 'mendaftar', 'berhasil', 'data', 'lengkap', 'mohon', 'bantuannya']",halo  barusan daftar hasil data lengkap  bantu,halo bank barusan mendaftar berhasil data lengkap mohon bantuannya,2024-11-01,7,7_data hapus_hapus data_data disalahgunakan_tolak data
keterangan tansaksi berhasil tetapi tidak masuk ke toko merchant dan saldo terpotong tidak balik lagi maaf menurut saya ini adalah penipuan dan saya sudah melaporkan kepolisi tadi semoga anda dapat ganjarannya aamiin,1,2024-12-01 12:39:31,banking,"['keterangan', 'tansaksi', 'berhasil', 'masuk', 'toko', 'merchant', 'saldo', 'terpotong', 'maaf', 'penipuan', 'melaporkan', 'kepolisi', 'semoga', 'ganjarannya', 'aamiin']",terang tansaksi hasil masuk toko merchant saldo potong maaf tipu lapor polisi  ganjar,keterangan tansaksi berhasil masuk toko merchant saldo terpotong maaf penipuan melaporkan kepolisi semoga ganjarannya aamiin,2024-12-01,0,0_belanja mudah_belanja bayar_mudah belanja_belanja
secara keseluruhan bagus promo menarik penggunaan mudah cuma telemarketing yang rese sehari bisa 8x nelpon tawarkan paylater,5,2024-12-06 1:44:27,banking,"['bagus', 'promo', 'menarik', 'penggunaan', 'mudah', 'telemarketing', 'rese', 'sehari', '8x', 'nelpon', 'tawarkan', 'paylater']",bagus promo tarik guna mudah telemarketing rese hari 8x nelpon tawar,bagus promo menarik penggunaan mudah telemarketing rese sehari 8x nelpon tawarkan paylater,2024-12-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
sangat mengecewakan di telpon pelayanan pelanggan dari bank kalau mau pengajuan minimal ada transaksi 3x ini saya daftar dan lakukan transaksi eh ujungnya juga tidak dapat mengecewakan membohongi publik,1,2024-10-18 23:27:10,banking,"['mengecewakan', 'telpon', 'pelayanan', 'pelanggan', 'bank', 'pengajuan', 'minimal', 'transaksi', '3x', 'daftar', 'lakukan', 'transaksi', 'eh', 'ujungnya', 'mengecewakan', 'membohongi', 'publik']",kecewa telpon layan langgan  aju minimal transaksi 3x daftar laku transaksi eh ujung kecewa bohong publik,mengecewakan telpon pelayanan pelanggan bank pengajuan minimal transaksi 3x daftar lakukan transaksi eh ujungnya mengecewakan membohongi publik,2024-10-01,3,3_akun tutup_email layan_spam sms_upgrade akun
aman dan terpercaya fitur nya yang sangat mendukung contoh untuk transfer melalui aplikasi atau bank pun dengan mudah dan sudah dilindungi dan diawasi oleh ojk,5,2024-10-29 3:43:04,banking,"['aman', 'terpercaya', 'fitur', 'nya', 'mendukung', 'contoh', 'transfer', 'aplikasi', 'bank', 'mudah', 'dilindungi', 'diawasi', 'ojk']",aman terpercaya fitur  dukung contoh transfer   mudah lindung awas ojk,aman terpercaya fitur nya mendukung contoh transfer aplikasi bank mudah dilindungi diawasi ojk,2024-10-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
ini bagus memberikan kemudahan dalam mengelola keuangan bank juga punya yang aman saya merasa puas dengan fitur ini,5,2024-11-10 5:12:23,banking,"['bagus', 'kemudahan', 'mengelola', 'keuangan', 'bank', 'aman', 'puas', 'fitur']",bagus mudah kelola uang  aman puas fitur,bagus kemudahan mengelola keuangan bank aman puas fitur,2024-11-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
aplikasi nya lengkap mudah di pahami bisa pembayaran juga keren banget aplikasi nya,5,2024-11-08 0:28:33,banking,"['aplikasi', 'nya', 'lengkap', 'mudah', 'pahami', 'pembayaran', 'keren', 'banget', 'aplikasi', 'nya']",lengkap mudah paham bayar keren,aplikasi nya lengkap mudah pahami pembayaran keren banget aplikasi nya,2024-11-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
bank salah satu yang bisa sangat membantu selain it bank memiliki banyak fitur yang bisa membantu kita ayo join unduh allobank,5,2024-11-05 0:25:18,banking,"['bank', 'salah', 'membantu', 'it', 'bank', 'memiliki', 'fitur', 'membantu', 'ayo', 'join', 'unduh', 'allobank']",salah bantu it  milik fitur bantu  join unduh allobank,bank salah membantu it bank memiliki fitur membantu ayo join unduh allobank,2024-11-01,-1,Outlier
sangat membantu sekali bisa bayar tagihan listrik tanpa biaya admin bisa transfer tanpa biaya admin yang pastinya sangat membantu sekali,5,2024-11-06 1:10:05,banking,"['membantu', 'bayar', 'tagihan', 'listrik', 'biaya', 'admin', 'transfer', 'biaya', 'admin', 'pastinya', 'membantu']",bantu bayar tagih  biaya admin transfer biaya admin pasti bantu,membantu bayar tagihan listrik biaya admin transfer biaya admin pastinya membantu,2024-11-01,9,9_bebas biaya_gratis transfer_transfer gratis_gratis biaya
bank ini adalah yang praktis prosesnya juga cepat fitur fitur nya lengkap dan bebas biaya admin juga pokoknya puas deh pakai ini,5,2024-10-27 1:30:12,banking,"['bank', 'praktis', 'prosesnya', 'cepat', 'fitur', 'fitur', 'nya', 'lengkap', 'bebas', 'biaya', 'admin', 'pokoknya', 'puas', 'deh', 'pakai']",praktis proses cepat fitur fitur  lengkap bebas biaya admin pokok puas deh pakai,bank praktis prosesnya cepat fitur fitur nya lengkap bebas biaya admin pokoknya puas deh pakai,2024-10-01,9,9_bebas biaya_gratis transfer_transfer gratis_gratis biaya
bintang ja dahulu karena jadi korban pemberi harapan palsu di janjiin kalau sudah sering transaksi pakai biasa 3 bualan transaksi pakai apl ini tapi nyatanya nihil huhuhuhu,2,2024-11-08 9:13:29,banking,"['bintang', 'ja', 'korban', 'pemberi', 'harapan', 'palsu', 'janjiin', 'transaksi', 'pakai', '3', 'bualan', 'transaksi', 'pakai', 'apl', 'nihil', 'huhuhuhu']",ja korban beri harap palsu janjiin transaksi pakai 3 bual transaksi pakai apl nihil huhuhuhu,bintang ja korban pemberi harapan palsu janjiin transaksi pakai 3 bualan transaksi pakai apl nihil huhuhuhu,2024-11-01,0,0_belanja mudah_belanja bayar_mudah belanja_belanja
bank sangat bagus dan tidak dipungut biaya admin saya suka memakainya apalagi proses pengajuan sangat mudah dan cepat prosesnya,5,2024-11-05 0:27:44,banking,"['bank', 'bagus', 'dipungut', 'biaya', 'admin', 'suka', 'memakainya', 'proses', 'pengajuan', 'mudah', 'cepat', 'prosesnya']",bagus pungut biaya admin suka pakai proses aju mudah cepat proses,bank bagus dipungut biaya admin suka memakainya proses pengajuan mudah cepat prosesnya,2024-11-01,9,9_bebas biaya_gratis transfer_transfer gratis_gratis biaya
bank sejauh ini sangat baik transfer ke berbeda bank bebas biaya admin gratis tampilan yang juga keren dan sangat userfriendly untuk pengguna baru sangat membantu juga dengan adanya mantap bank,5,2024-09-10 1:37:52,banking,"['bank', 'transfer', 'berbeda', 'bank', 'bebas', 'biaya', 'admin', 'gratis', 'tampilan', 'keren', 'userfriendly', 'pengguna', 'membantu', 'mantap', 'bank']",transfer beda  bebas biaya admin gratis tampil keren userfriendly guna bantu mantap,bank transfer berbeda bank bebas biaya admin gratis tampilan keren userfriendly pengguna membantu mantap bank,2024-09-01,9,9_bebas biaya_gratis transfer_transfer gratis_gratis biaya
bagus banget sekarang bank sudah bisa pakai dan sudah di awasi ojk lagi jadi makin nyaman dan aman saja nih pakai bank,5,2024-11-11 17:31:09,banking,"['bagus', 'banget', 'bank', 'pakai', 'awasi', 'ojk', 'nyaman', 'aman', 'nih', 'pakai', 'bank']",bagus   pakai awas ojk nyaman aman nih pakai,bagus banget bank pakai awasi ojk nyaman aman nih pakai bank,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
adalah yang sudah terjamin keamanannya dan telah dilindungi ojk pakai bank gampang dan gratis transfer ke manapun,5,2024-11-07 4:22:55,banking,"['terjamin', 'keamanannya', 'dilindungi', 'ojk', 'pakai', 'bank', 'gampang', 'gratis', 'transfer', 'manapun']",jamin aman lindung ojk pakai  gampang gratis transfer mana,terjamin keamanannya dilindungi ojk pakai bank gampang gratis transfer manapun,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
proses regist cukup mudah ya baru coba ternyta ada fitur untuk pas banget nih lagi butuh juga buat kebutuhan,5,2024-11-29 1:18:36,banking,"['proses', 'regist', 'mudah', 'ya', 'coba', 'ternyta', 'fitur', 'pas', 'banget', 'nih', 'butuh', 'kebutuhan']",proses regist mudah  coba ternyta fitur pas  nih butuh butuh,proses regist mudah ya coba ternyta fitur pas banget nih butuh kebutuhan,2024-11-01,-1,Outlier
wah pakai bank jadi lebih nyaman aman dan mudah karena bebas biaya transfer diawasi ojk dan memiliki yang memudahkan kita,5,2024-11-30 0:08:01,banking,"['pakai', 'bank', 'nyaman', 'aman', 'mudah', 'bebas', 'biaya', 'transfer', 'diawasi', 'ojk', 'memiliki', 'memudahkan']",pakai  nyaman aman mudah bebas biaya transfer awas ojk milik mudah,pakai bank nyaman aman mudah bebas biaya transfer diawasi ojk memiliki memudahkan,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
dapat rekomendasi dari teman katanya kalau mau pakai yang aman sudah diawasi sama ojk bebas biaya admin tf ke bank yang lain terus gampang lagi fitur fiturnyaa disuruh unduh bank dan benaran loh memang seperti begitu kenyataannya mantap deh,5,2025-01-07 0:08:39,banking,"['rekomendasi', 'teman', 'pakai', 'aman', 'diawasi', 'ojk', 'bebas', 'biaya', 'admin', 'tf', 'bank', 'gampang', 'fitur', 'fiturnyaa', 'disuruh', 'unduh', 'bank', 'benaran', 'loh', 'kenyataannya', 'mantap', 'deh']",rekomendasi teman pakai aman awas ojk bebas biaya admin tf  gampang fitur fiturnyaa suruh unduh  benar loh nyata mantap deh,rekomendasi teman pakai aman diawasi ojk bebas biaya admin tf bank gampang fitur fiturnyaa disuruh unduh bank benaran loh kenyataannya mantap deh,2025-01-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
pakai bank sudah hampir 1 taun sudah terdaftar di ojk bisa buat bayar juga mudah banget mau buat keperluan rumah tangga juga bisa,5,2025-01-06 0:43:54,banking,"['pakai', 'bank', '1', 'taun', 'terdaftar', 'ojk', 'bayar', 'mudah', 'banget', 'keperluan', 'rumah', 'tangga']",pakai  1 taun daftar ojk bayar mudah  perlu rumah tangga,pakai bank 1 taun terdaftar ojk bayar mudah banget keperluan rumah tangga,2025-01-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
setiap 1 jam msuk pemberitahuan untuk ambil tapi tidak bisa aneh x bank ini,1,2024-12-27 10:10:11,banking,"['1', 'jam', 'msuk', 'pemberitahuan', 'ambil', 'aneh', 'x', 'bank']",1 jam msuk beri ambil aneh x,1 jam msuk pemberitahuan ambil aneh x bank,2024-12-01,32,32_1x4 jam_menit proses_upadet 4jam_jam proses
dari bank sangat aman dan terpercaya jadi saya tidak perlu khawatir untuk belanja sekarang dan bayar nanti,5,2025-01-05 0:16:49,banking,"['bank', 'aman', 'terpercaya', 'khawatir', 'belanja', 'bayar']",aman terpercaya khawatir belanja bayar,bank aman terpercaya khawatir belanja bayar,2025-01-01,0,0_belanja mudah_belanja bayar_mudah belanja_belanja
suka banget sama bank anti rumit semuanya serba mudah apalagi bank ini aman karena dilindungi ojk,5,2024-12-30 0:19:58,banking,"['suka', 'banget', 'bank', 'anti', 'rumit', 'serba', 'mudah', 'bank', 'aman', 'dilindungi', 'ojk']",suka   anti rumit serba mudah  aman lindung ojk,suka banget bank anti rumit serba mudah bank aman dilindungi ojk,2024-12-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
aplikasi nya smsangat membantu saat dan dilindungi ojk juga sangat cocok untuk apapun itu,5,2025-01-06 0:42:59,banking,"['aplikasi', 'nya', 'smsangat', 'membantu', 'dilindungi', 'ojk', 'cocok', 'apapun']",smsangat bantu lindung ojk cocok apa,aplikasi nya smsangat membantu dilindungi ojk cocok apapun,2025-01-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
ini sangat memudahkan kita untuk transfer ke bank lain tanpa biaya admin jika ingin mengajukan sangat aman dan terpercaya,5,2024-11-06 1:47:45,banking,"['memudahkan', 'transfer', 'bank', 'biaya', 'admin', 'mengajukan', 'aman', 'terpercaya']",mudah transfer  biaya admin aju aman terpercaya,memudahkan transfer bank biaya admin mengajukan aman terpercaya,2024-11-01,9,9_bebas biaya_gratis transfer_transfer gratis_gratis biaya
bank ini yang sangat memudahkan untuk kaum darurat seperti saya karena saya kalau darurat menggunakan fitur juga lengkap dan sangat mudah untuk registrasi semoga terus seperti ini ya bank,5,2024-09-16 7:22:37,banking,"['bank', 'memudahkan', 'kaum', 'darurat', 'darurat', 'fitur', 'lengkap', 'mudah', 'registrasi', 'semoga', 'ya', 'bank']",mudah kaum darurat darurat fitur lengkap mudah registrasi,bank memudahkan kaum darurat darurat fitur lengkap mudah registrasi semoga ya bank,2024-09-01,-1,Outlier
saya sudah mau hampir setahun menggunakan bank tapi fitur dan dana instan tidak bisa digunakan padahal menurut saya fitur tersebut sangat membantu jika memerlukan uang darurat tolong respons dong minimal dan aktifkan fitur tersebut di akun saya,2,2024-10-01 16:53:12,banking,"['setahun', 'bank', 'fitur', 'dana', 'instan', 'fitur', 'membantu', 'uang', 'darurat', 'tolong', 'respons', 'minimal', 'aktifkan', 'fitur', 'akun']",tahun  fitur dana instan fitur bantu uang darurat  respons minimal aktif fitur akun,setahun bank fitur dana instan fitur membantu uang darurat tolong respons minimal aktifkan fitur akun,2024-10-01,29,29_fitur dana_terap dana_dana dear_dana cair
mau memasang tapi masih ragu yukk buruan install jangan ragu lagi gaes di bank kalian gratis admin dan yang harusnya kalian tahu bank punya yang 1 aman tenang ajaa gaess sudah dilindungi ojk banyak promo menarik juga atau kamu bisa menggunakan points untuk melakukan pembayaran 1 point 1 rupiah kalau menurut aku kalian harus punya sih aplikasi yang berguna seperti ini,5,2024-08-07 10:18:19,banking,"['memasang', 'ragu', 'yukk', 'buruan', 'install', 'ragu', 'gaes', 'bank', 'gratis', 'admin', 'bank', '1', 'aman', 'tenang', 'ajaa', 'gaess', 'dilindungi', 'ojk', 'promo', 'menarik', 'points', 'pembayaran', '1', 'point', '1', 'rupiah', 'sih', 'aplikasi', 'berguna']",pasang ragu yukk buru install ragu gaes  gratis admin  1 aman tenang ajaa gaess lindung ojk promo tarik points bayar 1 point 1 rupiah   guna,memasang ragu yukk buruan install ragu gaes bank gratis admin bank 1 aman tenang ajaa gaess dilindungi ojk promo menarik points pembayaran 1 point 1 rupiah sih aplikasi berguna,2024-08-01,-1,Outlier
setiap itu bagus menawarkan kemudahan pengajuan kredit dengan beragam suku bunga 5 menit langsung acc yang bi cek bagus khusus bi yang cacat mau bertahun ya tetap saja di tolak wkakakakakaa sudah lumrah,1,2024-10-25 19:40:49,banking,"['bagus', 'menawarkan', 'kemudahan', 'pengajuan', 'kredit', 'beragam', 'suku', 'bunga', '5', 'menit', 'langsung', 'acc', 'bi', 'cek', 'bagus', 'khusus', 'bi', 'cacat', 'bertahun', 'ya', 'tolak', 'wkakakakakaa', 'lumrah']",bagus tawar mudah aju kredit agam suku bunga 5 menit langsung acc bi cek bagus khusus bi cacat tahun  tolak wkakakakakaa lumrah,bagus menawarkan kemudahan pengajuan kredit beragam suku bunga 5 menit langsung acc bi cek bagus khusus bi cacat bertahun ya tolak wkakakakakaa lumrah,2024-10-01,-1,Outlier
cuman iming saja melalui sms katanya di acc giliran unduh eng ing eng nihil terima kasih sudah kasih harapan palsu,1,2024-12-12 5:45:45,banking,"['cuman', 'iming', 'sms', 'acc', 'giliran', 'unduh', 'eng', 'ing', 'eng', 'nihil', 'terima', 'kasih', 'kasih', 'harapan', 'palsu']",iming sms acc gilir unduh eng ing eng nihil    harap palsu,cuman iming sms acc giliran unduh eng ing eng nihil terima kasih kasih harapan palsu,2024-12-01,3,3_akun tutup_email layan_spam sms_upgrade akun
di bank ada fitur ajukan yang sangat aman dan mudah proses nya,5,2024-12-14 1:59:51,banking,"['bank', 'fitur', 'ajukan', 'aman', 'mudah', 'proses', 'nya']",fitur ajuk aman mudah proses,bank fitur ajukan aman mudah proses nya,2024-12-01,-1,Outlier
bank aplikasi nya bagus tampilannya juga simpel bank punya yang aman sudah pasti aman diawasi ojk,5,2024-12-18 17:13:17,banking,"['bank', 'aplikasi', 'nya', 'bagus', 'tampilannya', 'simpel', 'bank', 'aman', 'aman', 'diawasi', 'ojk']",bagus tampil simpel  aman aman awas ojk,bank aplikasi nya bagus tampilannya simpel bank aman aman diawasi ojk,2024-12-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
aplikasi nya yang sangat bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah belanja di transmart dengan bank dapat diskon banyak banget keuntungannya rekomendasi banget untuk pakai bank,5,2025-01-02 1:40:29,banking,"['aplikasi', 'nya', 'bagus', 'tampilannya', 'keren', 'terdaftar', 'ojk', 'aman', 'fitur', 'nya', 'bayar', 'mudah', 'cepat', 'nabung', 'deposito', 'aman', 'mudah', 'belanja', 'transmart', 'bank', 'diskon', 'banget', 'keuntungannya', 'rekomendasi', 'banget', 'pakai', 'bank']",bagus tampil keren daftar ojk aman fitur  bayar mudah cepat nabung  aman mudah belanja transmart  diskon  untung rekomendasi  pakai,aplikasi nya bagus tampilannya keren terdaftar ojk aman fitur nya bayar mudah cepat nabung deposito aman mudah belanja transmart bank diskon banget keuntungannya rekomendasi banget pakai bank,2025-01-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
baru pertama pakai yang aman seperti ini untuk keseluruhan mudah dipakai dan dipahami serta sudah diawasi ojk dan juga bebas biaya admin,5,2024-11-13 1:01:10,banking,"['pakai', 'aman', 'mudah', 'dipakai', 'dipahami', 'diawasi', 'ojk', 'bebas', 'biaya', 'admin']",pakai aman mudah pakai paham awas ojk bebas biaya admin,pakai aman mudah dipakai dipahami diawasi ojk bebas biaya admin,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
setelah tahu tentang dan sering menggunakan nya aku jadi mulai suka menggunakan ada fitur yang tidak ada di lain itu yang aku suka di bank,5,2024-11-17 3:42:16,banking,"['nya', 'suka', 'fitur', 'suka', 'bank']",suka fitur suka,nya suka fitur suka bank,2024-11-01,-1,Outlier
aplikasi nya keren banget nyaman pas guna in dan pokoknya best,5,2024-12-07 18:59:54,banking,"['aplikasi', 'nya', 'keren', 'banget', 'nyaman', 'pas', 'in', 'pokoknya', 'best']",keren  nyaman pas in pokok best,aplikasi nya keren banget nyaman pas in pokoknya best,2024-12-01,-1,Outlier
selalu dapat notifikasi untuk segera aktifkan tapi saat dicoba selalu ditolak padahal saya kol 1 bagaimana ini memberikan harapan saja,2,2024-11-01 19:28:43,banking,"['notifikasi', 'aktifkan', 'dicoba', 'ditolak', 'kol', '1', 'harapan']",notifikasi aktif coba tolak kol 1 harap,notifikasi aktifkan dicoba ditolak kol 1 harapan,2024-11-01,10,10_daftar acc_pas daftar_daftar tolak_tawar daftar
simpel saat proses pengajuan limit benar berguna disaat lagi butuh pinjaman daring,5,2024-12-01 3:24:05,banking,"['simpel', 'proses', 'pengajuan', 'limit', 'berguna', 'disaat', 'butuh', 'pinjaman', 'daring']",simpel proses aju limit guna saat butuh pinjam daring,simpel proses pengajuan limit berguna disaat butuh pinjaman daring,2024-12-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
ini sangat membantu jika di aktifkan atau pinjam seperti bank digital yang sudah menerapkan atau dana pinjaman terima kasih,4,2024-12-02 10:39:23,banking,"['membantu', 'aktifkan', 'pinjam', 'bank', 'digital', 'menerapkan', 'dana', 'pinjaman', 'terima', 'kasih']",bantu aktif pinjam  digital terap dana pinjam,membantu aktifkan pinjam bank digital menerapkan dana pinjaman terima kasih,2024-12-01,29,29_fitur dana_terap dana_dana dear_dana cair
saya suka dengan bank selain bebas biaya transfer aplikasi ini juga mempunyai kelebihan lainnya seperti yang di lindungi oleh ojk,5,2024-11-09 18:21:32,banking,"['suka', 'bank', 'bebas', 'biaya', 'transfer', 'aplikasi', 'kelebihan', 'lindungi', 'ojk']",suka  bebas biaya transfer  lebih lindung ojk,suka bank bebas biaya transfer aplikasi kelebihan lindungi ojk,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
saya di telpon setelah mendaftar di bank diduga itu adalah hacker dan mengabarkan bahwa aku bisa mengaktifkan dan dia bersikeras untuk aku melakukan walaupun aku beralasan bahwa aplikasi bank telah di hapus jadinya takut untuk pakai bank lagi mohon jawabannya dari perusahaan aplikasi bank,5,2024-11-19 16:12:25,banking,"['telpon', 'mendaftar', 'bank', 'diduga', 'hacker', 'mengabarkan', 'mengaktifkan', 'bersikeras', 'beralasan', 'aplikasi', 'bank', 'hapus', 'takut', 'pakai', 'bank', 'mohon', 'jawabannya', 'perusahaan', 'aplikasi', 'bank']",telpon daftar  duga hacker kabar aktif keras alas   hapus takut pakai   jawab usaha,telpon mendaftar bank diduga hacker mengabarkan mengaktifkan bersikeras beralasan aplikasi bank hapus takut pakai bank mohon jawabannya perusahaan aplikasi bank,2024-11-01,-1,Outlier
bank merupakan yang keren terdapat yang aman dan terpercaya,5,2024-11-07 22:29:22,banking,"['bank', 'keren', 'aman', 'terpercaya']",keren aman terpercaya,bank keren aman terpercaya,2024-11-01,13,13_aman aman_aman_aman milik_amann aman
penutupan akun berasa di persulit padahal tidak ada tagihan dan saldo sudah kosong,1,2024-10-24 5:42:35,banking,"['penutupan', 'akun', 'berasa', 'persulit', 'tagihan', 'saldo', 'kosong']",tutup akun rasa sulit tagih saldo kosong,penutupan akun berasa persulit tagihan saldo kosong,2024-10-01,3,3_akun tutup_email layan_spam sms_upgrade akun
di telpon sampai 5 kali untuk mewarkan tidak kebuka buka sekali kebuka di kasih limit nol maksudnya apa coba,1,2024-12-09 12:38:45,banking,"['telpon', '5', 'kali', 'mewarkan', 'kebuka', 'buka', 'kebuka', 'kasih', 'limit', 'nol', 'maksudnya', 'coba']",telpon 5  mewarkan buka buka buka  limit nol maksud coba,telpon 5 kali mewarkan kebuka buka kebuka kasih limit nol maksudnya coba,2024-12-01,-1,Outlier
ada jadi lebih mudah buat belanja keperluan sehari hari,5,2024-11-24 19:10:10,banking,"['mudah', 'belanja', 'keperluan', 'sehari']",mudah belanja perlu hari,mudah belanja keperluan sehari,2024-11-01,0,0_belanja mudah_belanja bayar_mudah belanja_belanja
